taxonID	vernacularName	language	countryCode	locality	source
6848875	Gray Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848875	Gray Gull	English			2005. website, AOU Check-List (07-2005).
6848876	Silver Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848844	Western Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848844	Western Gull	English			2005. website, AOU Check-List (07-2005).
6848844	Western Gull	English			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848844	Western Gull	English			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848844	Gaviota occidental	Spanish			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848844	Gaviota occidental	Spanish			2005. website, AOU Check-List (07-2005).
6848844	Gaviota occidental	Spanish			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848844	Gaviota occidental	Spanish			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848877	Pacific Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848855	mouette de Bonaparte	French			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848855	mouette de Bonaparte	French			2005. website, AOU Check-List (07-2005).
6848855	mouette de Bonaparte	French			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848855	mouette de Bonaparte	French			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848855	Gaviota de Bonaparte	Spanish			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848855	Gaviota de Bonaparte	Spanish			2005. website, AOU Check-List (07-2005).
6848855	Gaviota de Bonaparte	Spanish			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848855	Gaviota de Bonaparte	Spanish			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848855	Bonaparte's Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848855	Bonaparte's Gull	English			2005. website, AOU Check-List (07-2005).
